"ministrante_atividade","beneficiada_programa"
"nao","nao"
"sim","sim"
"nao","sim"
"nao","sim"
"nao","sim"
"nao","nao"
"sim","sim"
"nao","sim"
"nao","nao"
"nao","nao"
"nao","nao"
"nao","não"
"nao","nao"
"nao","não"
"nao","nao"
"nao","não"
"nao","sim"
"nao","sim"
"nao","não"
"nao","sim"
"nao","nao"
"nao","não"
"nao","não"
"sim","sim"
"sim","sim"
"nao","nao"
"nao","sim"
"nao","nao"
"nao","nao"
"nao","sim"
"nao","sim"
"nao","nao"
"nao","não"
"nao","sim"
"nao","não"
"nao","não"
"nao","nao"
"nao","sim"
"nao","sim"
"nao","não"
"nao","sim"
"nao","sim"
"nao","sim"
"nao","não"
"sim","sim"
"sim","sim"
"nao","sim"
"nao","sim"
"nao","nao"
"nao","não"
"nao","nao"
"nao","nao"
"nao","nao"
"nao","nao"
"nao","nao"
"nao","sim"
"sim","sim"
"nao","sim"
"nao","nao"
"nao","nao"
"nao","sim"
"nao","nao"
"nao","sim"
"nao","sim"
"nao","não"
"nao","nao"
"nao","não"
"nao","nao"
"sim","não"
"nao","sim"
"nao","sim"
"nao","nao"
"nao","sim"
"nao","nao"
"nao","nao"
"nao","nao"
"nao","sim"
"nao","sim"
"nao","sim"
"nao","não"
"nao","sim"
"nao","sim"
"sim","sim"
"sim","sim"
"nao","não"
"nao","nao"
"nao","nao"
"nao","nao"
"nao","não"
"nao","nao"
"nao","não"
"nao","sim"
"nao","não"
"nao","sim"
"nao","não"
"nao","nao"
"sim","sim"
"nao","nao"
"nao","sim"
"nao","não"
"nao","nao"
"nao","não"
"nao","sim"
"sim","sim"
"nao","sim"
"nao","sim"
"nao","nao"
"nao","não"
"nao","não"
"nao","não"
"nao","sim"
"nao","sim"
"nao","nao"
"sim","sim"
